Date;Price;Open;High;Low
12/08/2023;195.69;194.19;195.99;193.68
12/07/2023;194.27;193.63;195;193.59
12/06/2023;192.32;194.45;194.76;192.11
12/05/2023;193.42;190.21;194.4;190.18
12/04/2023;189.43;189.98;190.05;187.45
12/01/2023;191.24;190.33;191.56;189.23
11/30/2023;189.95;189.84;190.32;188.19
11/29/2023;189.37;190.9;192.09;188.97
11/28/2023;190.4;189.78;191.08;189.4
11/27/2023;189.79;189.92;190.67;188.9
11/24/2023;189.97;190.87;190.9;189.25
11/22/2023;191.31;191.49;192.93;190.82
11/21/2023;190.64;191.41;191.52;189.74
11/20/2023;191.45;189.89;191.9;189.88
11/17/2023;189.69;190.25;190.38;188.57
11/16/2023;189.71;189.57;190.96;188.65
11/15/2023;188.01;187.85;189.5;187.78
11/14/2023;187.44;187.7;188.11;186.3
11/13/2023;184.8;185.82;186.03;184.21
11/10/2023;186.4;183.97;186.57;183.53
11/09/2023;182.41;182.96;184.12;181.81
